iter	Passed	Remaining
0	107	524911	173	416222	232	363933	311	357944	367	330555	422	310066	482	296177	525	275688	573	261199	629	2518110	693	2460111	739	2342112	787	2240113	841	2164114	885	206715	957	2035
16	1022	1985
17	1053	1873
18	1122	1831
19	1216	1825
20	1261	1741
21	1347	1714
22	1393	1636
23	1437	1557
24	1501	1501
25	1551	1432
26	1610	1372
27	1659	1304
28	1704	1234
29	1753	1169
30	1806	1107
31	1883	1059
32	1926	992
33	1976	929
34	2043	875
35	2087	811
36	2130	748
37	2189	691
38	2256	636
39	2298	574
40	2358	517
41	2439	464
42	2471	402
43	2508	342
44	2561	284
45	2612	227
46	2654	169
47	2695	112
48	2721	55449	2752	0
